Topic,Count,Name,Representation,Representative_Docs
-1,3068,-1_já_cabeça_aqui_tudo,"['já', 'cabeça', 'aqui', 'tudo', 'mim', 'mais', 'nada', 'mas', 'bem', 'ninguém']","['Você me faz tão bem', 'E tudo o que você está causando em mim', 'Só me deixou o eco e mais nada']"
0,722,0_amor_amo_amar_ama,"['amor', 'amo', 'amar', 'ama', 'amando', 'nosso', 'amores', 'adorar', 'romântico', 'apaixonado']","['Amor', 'Não foi amor', 'Que conheceram o amor']"
1,224,1_aguento_nem_sai_esconder,"['aguento', 'nem', 'sai', 'esconder', 'consigo', 'atender', 'pergunte', 'fingir', 'ligo', 'assim']","['Eu não aguento mais', 'Eu não aguento mais', 'E eu não aguento mais, eu não aguento mais']"
2,214,2_dela_maluca_grau_fazendeiro,"['dela', 'maluca', 'grau', 'fazendeiro', 'culpa', 'mulher', 'levei', 'amarra', 'golpe', 'cowboy']","['Pelo jeito, ela tá querendo quem?(Fazendeiro)Ela se amarra num cowboy porque playboy não tem dinheiro(Fazendeiro)Ela quer minha pegada bruta com aroma de paieiro(Fazendeiro)Ela se amarra num cowboy porque playboy não tem dinheiro(Fazendeiro)Ela quer minha pegada bruta com aroma de paieiro', 'A tara dela era só fazer', 'A culpa é dela']"
3,200,3_beijo_beijar_beija_beijos,"['beijo', 'beijar', 'beija', 'beijos', 'beijando', 'beijou', 'boca', 'beijei', 'gosto', 'dava']","['E um beijo', 'Que administra beijo', 'Todo beijo é normalzin']"
4,180,4_chorar_choro_chorei_chora,"['chorar', 'choro', 'chorei', 'chora', 'lágrimas', 'triste', 'chorou', 'gritando', 'rolou', 'piscina']","['Por me ver chorar', 'Quando for chorar, eu choro com você', 'Se é pra chorar eu choro']"
5,165,5_coração_meu_cuidado_seu,"['coração', 'meu', 'cuidado', 'seu', 'dona', 'mãos', 'entregar', 'gritou', 'dama', 'suas']","['E do coração', 'De coração pra coração', 'Do coração']"
6,148,6_vida_viver_viva_minha,"['vida', 'viver', 'viva', 'minha', 'inteira', 'vivo', 'daria', 'vivendo', 'morro', 'dessa']","['Ô, vida', 'Vida', 'Que preenche a vida']"
7,131,7_saudade_sentir_arrepender_falta,"['saudade', 'sentir', 'arrepender', 'falta', 'louca', 'sinto', 'morrendo', 'saudades', 'bateu', 'negaria']","['Sem saudade de você', 'Ô, saudade', 'S de saudade']"
8,129,8_tempo_hora_minuto_passado,"['tempo', 'hora', 'minuto', 'passado', 'passou', 'relógio', 'idade', 'passar', 'horas', 'tarde']","['É perda de tempo, é perda de tempo', 'O tempo não curou', 'O tempo voa']"
9,120,9_bebida_beber_cerveja_copo,"['bebida', 'beber', 'cerveja', 'copo', 'bebendo', 'vinho', 'bebe', 'bebi', 'açúcar', 'mesa']","['Eu vou bebendo por beber', 'A bebida não volta pro copo', 'Do copo de cerveja, com delicadeza']"
10,109,10_deus_fé_livre_céu,"['deus', 'fé', 'livre', 'céu', 'chamas', 'pastor', 'pintou', 'bateu', 'monte', 'fraca']","['Deus', 'Deus quer?', 'Deus']"
11,102,11_dormir_acordar_sono_madrugada,"['dormir', 'acordar', 'sono', 'madrugada', 'manhã', 'acordei', 'tarde', 'amanhecer', 'esperando', 'dorme']","['E às 9 da manhã, quando você acordar', 'A dormir com os dois travesseiros', 'De acordar de madrugada pra fazer de novo']"
12,93,12_voltar_volta_tamo_volto,"['voltar', 'volta', 'tamo', 'volto', 'traz', 'novo', 'atrás', 'maloqueiro', 'quiser', 'novamente']","['E eu implorei pra voltar', 'Eu implorei pra voltar', 'E eu implorei pra você voltar']"
13,88,13_adianta_boiadeiro_morde_patricinha,"['adianta', 'boiadeiro', 'morde', 'patricinha', 'estragar', 'encarar', 'esconde', 'cão', 'feio', 'usar']","['Que a patricinha não quer o boiadeiro', 'Que a patricinha não quer boiadeiro', 'Nem adianta disfarçar, isso não vai mudar']"
14,77,14_chapelão_brenno_campo_cigano,"['chapelão', 'brenno', 'campo', 'cigano', 'cuiabá', 'carmelita', 'capacitei', 'bruno', 'renovei', 'folgado']","['Chapelão', 'Chapelão)', 'Chapelão(É a']"
15,75,15_sei_conhece_conheço_saber,"['sei', 'conhece', 'conheço', 'saber', 'sabe', 'soube', 'muito', 'bem', 'entende', 'acontecer']","['Eu sei, eu sei', 'Sei que você disse:', 'É, você já sabe, me conhece muito bem']"
16,73,16_esquecer_esqueci_esqueceu_esquece,"['esquecer', 'esqueci', 'esqueceu', 'esquece', 'esqueça', 'capaz', 'esqueço', 'desisti', 'precisando', 'for']","['De me esquecer', 'De me esquecer', 'Pra esquecer']"
17,71,17_sorriso_sorrindo_sorrir_teu,"['sorriso', 'sorrindo', 'sorrir', 'teu', 'sorri', 'orelha', 'esse', 'toa', 'neve', 'sumindo']","['Mas esse sorriso aí eu nunca vi', 'Esse sorriso teu', 'Disparei o meu sorriso que não te atingiu']"
18,70,18_defeitos_errado_erro_erros,"['defeitos', 'errado', 'erro', 'erros', 'errada', 'meus', 'coragem', 'cheio', 'todos', 'acerto']","['Você sabe os meu defeitos', 'Inventando possíveis defeitos', 'Tem os meus defeitos']"
19,69,19_boca_bocas_dose_sua,"['boca', 'bocas', 'dose', 'sua', 'beijinho', 'gosto', 'mel', 'minha', 'cinco', 'errada']","['A sua boca me explorando com movimentos sutis', 'Só boca a boca', 'Minha boca, sua boca, sem sussurrar']"
20,68,20_olhos_olho_olhar_seus,"['olhos', 'olho', 'olhar', 'seus', 'meus', 'cegou', 'olhares', 'dom', 'sobrevivo', 'par']","['Até de olhos fechados', 'Eu fecho os meus olhos', 'Eu fecho os olhos']"
21,68,21_embora_pegou_sido_lentamente,"['embora', 'pegou', 'sido', 'lentamente', 'moral', 'sumiu', 'acontecer', 'teus', 'então', 'beijos']","['Os teus beijos lentamente', 'Os teus beijos lentamente', 'Cê foi embora, então desaparece']"
22,66,22_roupa_vestido_camisa_tirando,"['roupa', 'vestido', 'camisa', 'tirando', 'corpo', 'roupas', 'tirar', 'usando', 'tira', 'pede']","['O que é que tem a gente se beijar sem roupa?', 'Lisa, tira a minha roupa', 'Cê já tá sem roupa por cima de mim']"
23,66,23_indo_chegar_chegando_cá,"['indo', 'chegar', 'chegando', 'cá', 'vem', 'tocar', 'acudir', 'costume', 'venha', 'aqui']","['Vem cá', 'Até que cê tá indo bem', 'Até que cê tá indo bem']"
24,64,24_lembrar_memória_lembranças_lembra,"['lembrar', 'memória', 'lembranças', 'lembra', 'lembre', 'lembro', 'lembrança', 'lembrei', 'tomo', 'guardo']","['Quando eu me lembrar', 'Mas eu só quero lembrar', 'Aí cê vai lembrar']"
25,63,25_canta_música_balada_cantar,"['canta', 'música', 'balada', 'cantar', 'canção', 'cantando', 'voz', 'canto', 'cantada', 'envio']","['Eu vendi um canário que canta e um que não canta eu vendi muito bem', 'Uma música', 'Uma música']"
26,63,26_quiser_ti_única_colocar,"['quiser', 'ti', 'única', 'colocar', 'chance', 'ganhar', 'lado', 'consiga', 'depende', 'informação']","['Se você quiser', 'É sua única chance', 'E a sua única chance vai ser']"
27,59,27_louco_fiz_culpa_mal,"['louco', 'fiz', 'culpa', 'mal', 'cigarro', 'pisa', 'deixando', 'amigos', 'feito', 'loucura']","['Agora estou vendo que o louco é você', 'Eu já tô ficando louco', 'Que mal te fiz eu?']"
28,58,28_casa_namora_apartamento_leva,"['casa', 'namora', 'apartamento', 'leva', 'amarela', 'endereço', 'frente', 'ou', 'quiser', 'descansar']","['O que eu já tinha em casa', 'School na minha casa', 'Casa não']"
29,58,29_feliz_felicidade_alegrar_pendurada,"['feliz', 'felicidade', 'alegrar', 'pendurada', 'felizes', 'momento', 'fingir', 'sentir', 'prazer', 'importante']","['No fundo, eu tô feliz por você tá feliz', 'HMas feliz não dá', 'Me vi tão feliz']"
30,57,30_cama_travesseiro_dormir_sexo,"['cama', 'travesseiro', 'dormir', 'sexo', 'acabando', 'deita', 'inesquecível', 'naquela', 'levantar', 'cima']","['Em qual cama?', 'Na cama, cê tem o poder', 'Da cama']"
31,57,31_pudesse_soubesse_fosse_fui,"['pudesse', 'soubesse', 'fosse', 'fui', 'superou', 'realmente', 'escolhido', 'namorado', 'disser', 'mente']","['Se eu pudesse tirava da sua mente essa vontade', 'Mas se você soubesse o que realmente me interessa', 'Se eu pudesse te apagar da minha mente']"
32,57,32_sonho_sonhar_pesadelo_sonha,"['sonho', 'sonhar', 'pesadelo', 'sonha', 'sonhou', 'meus', 'início', 'pedindo', 'comigo', 'fadas']","['O meu sonho é você', 'Meu sonho pra você sonhar', 'Um sonho pra sonhar']"
33,56,33_escolhi_sendo_frágil_cadê,"['escolhi', 'sendo', 'frágil', 'cadê', 'caiu', 'mostrei', 'namorando', 'entrando', 'superei', 'pequeno']","['Te escolhi', 'Te escolhi, mesmo sendo tão frágil, te escolhi', 'Escolhi, te escolhi, mesmo sendo tão frágil, te escolhi']"
34,54,34_doendo_doer_dói_dor,"['doendo', 'doer', 'dói', 'dor', 'machuca', 'curar', 'machucar', 'feridas', 'machucando', 'cura']","['Vai doer demais', 'Vai doer', 'Se essa dor doer em mim']"
35,54,35_nada_ninguém_valor_dinheiro,"['nada', 'ninguém', 'valor', 'dinheiro', 'precisa', 'paga', 'viu', 'imagina', 'valeu', 'nenhum']","['Não tem nada a ver', 'Cê não quer nada com nada', 'Nada, nada']"
36,53,36_noite_meia_noites_pássaro,"['noite', 'meia', 'noites', 'pássaro', 'caminhonete', 'toda', 'virar', 'tarde', 'rua', 'fria']","['Toda noite', 'De querer uma noite e mais nada', 'E a noite, enluarada']"
37,53,37_nome_ligando_chamar_ligar,"['nome', 'ligando', 'chamar', 'ligar', 'ligou', 'ligo', 'chamo', 'chama', 'sobrenome', 'noites']","['Alguém tava me ligando, era você', 'Seu nome é', 'Meu nome, seu nome']"
38,49,38_gente_briga_continua_enrola,"['gente', 'briga', 'continua', 'enrola', 'estamos', 'nós', 'além', 'galopada', 'divididos', 'despedindo']","['A gente pausa, volta e continua', 'Quem sabe um dia a gente continua, a gente continua', 'E a gente só briga, briga, briga, briga, briga']"
39,47,39_filho_bebê_filhos_menino,"['filho', 'bebê', 'filhos', 'menino', 'papai', 'nossos', 'cantando', 'vão', 'dizendo', 'usar']","['Filho,', 'Filho meu', 'Meu filho']"
40,46,40_sentimento_senti_sentindo_sensação,"['sentimento', 'senti', 'sentindo', 'sensação', 'sinto', 'sente', 'alívio', 'possível', 'sentia', 'encontre']","['Mas de sentimento ainda não', 'E esse sentimento pendente', 'Sentimento não se desfez']"
41,42,41_cidade_rua_ruas_parado,"['cidade', 'rua', 'ruas', 'parado', 'trânsito', 'pela', 'nessa', 'meio', 'mesma', 'grande']","['Eu já borrei batons pela cidade', 'Brown pela cidade', 'Eu rodei pela cidade']"
42,41,42_uôô_apaga_uoh_avião,"['uôô', 'apaga', 'uoh', 'avião', 'infiel', 'parou', '', '', '', '']","['Uoh uoh oh oh', 'Apaga, apaga, apaga', 'Uôô, uôô']"
43,41,43_mente_mentira_enganar_mentir,"['mente', 'mentira', 'enganar', 'mentir', 'tão', 'mentiu', 'mentiroso', 'traído', 'falso', 'falsos']","['De um cara que mente', 'Você mente, você mente', 'Você mente tão bem']"
44,40,44_medo_cerca_assustando_coitado,"['medo', 'cerca', 'assustando', 'coitado', 'insegura', 'experimenta', 'temor', 'trauma', 'aumenta', 'desejo']","['O medo de falar', 'Do que cê tá com medo?', 'O medo aguça a atração']"
45,39,45_avisei_avisar_digo_responder,"['avisei', 'avisar', 'digo', 'responder', 'coisa', 'devo', 'irá', 'ensinar', 'contar', 'vim']","['Te avisei que eu ia lá', 'Eu te avisei', 'Te avisei:']"
46,39,46_amanhã_feira_sexta_semana,"['amanhã', 'feira', 'sexta', 'semana', 'segunda', 'ontem', 'aniversário', 'domingo', 'gastei', 'futebol']","['E amanhã só', 'Amanhã cê descarta', 'Amanhã']"
47,39,47_mundo_fiel_girou_desse,"['mundo', 'fiel', 'girou', 'desse', 'existe', 'nesse', 'dono', 'presta', 'imagino', 'nove']","['Na volta desse mundo', 'Eu juntei meu mundo, mundo, mundo com o seu', 'Que vocês viajem o mundo']"
48,39,48_final_fim_ponto_acabou,"['final', 'fim', 'ponto', 'acabou', 'terminar', 'terminou', 'farsa', 'deserto', 'completa', 'marcar']","['Que às vezes um ponto final faz bem', 'Marcamos o ponto final', 'Um ponto final']"
49,39,49_dois_nois_duas_outro,"['dois', 'nois', 'duas', 'outro', 'letras', 'nós', 'enganados', 'excesso', 'existem', 'ficada']","['Se juntin nois dois morasse', 'Se juntin nois dois drumisse', 'Se juntin nois dois vivesse']"
50,39,50_quis_queria_nunca_pensava,"['quis', 'queria', 'nunca', 'pensava', 'jamais', 'cuidei', 'deixava', 'convenceu', 'enviar', 'ido']","['Logo eu que nem pensava', 'Eu quis demais, você não quis', 'Você jamais me perguntou de onde venho e pra onde vou']"
51,38,51_merecer_pegando_perco_usar,"['merecer', 'pegando', 'perco', 'usar', 'gesto', 'exaltar', 'insisto', 'macetar', 'apresentar', 'capacito']","['Sou simples demais pra merecer você, eu sei', 'Enquanto eu merecer será você', 'Enquanto eu merecer, será você']"
52,38,52_ano_mês_dias_trinta,"['ano', 'mês', 'dias', 'trinta', 'três', 'janeiro', 'uns', 'anos', 'inteiro', 'sete']","['Faz mais de um mês', 'Dizer que já faz mais de um ano', 'Dizer que já tem mais de um ano']"
53,38,53_largar_livro_terminei_deixo,"['largar', 'livro', 'terminei', 'deixo', 'nisso', 'deixei', 'ler', 'fugir', 'embora', 'pediu']","['Eu vou me achar e te largar?', 'Falando nisso, terminei o livro que você pediu pra eu ler', 'Ah, falando nisso, terminei o livro que você pediu pra eu ler']"
54,37,54_still_ainda_one_re,"['still', 'ainda', 'one', 're', 'you', 'the', 'preferiu', 'prefiro', 'aqui', 'comigo']","[""You're still the one that"", ""Oh, oh, you're still the one"", ""You're still the one""]"
55,36,55_flor_roça_flores_love,"['flor', 'roça', 'flores', 'love', 'beija', 'jardim', 'verde', 'quinhentos', 'rosa', 'buquê']","['Vai lá, entregador de flor', 'Flor de plástico', 'De uma flor e um beija-flor']"
56,36,56_pensamento_pense_realidade_pensar,"['pensamento', 'pense', 'realidade', 'pensar', 'imaginar', 'pensamentos', 'penso', 'pensou', 'pedacinho', 'imaginação']","['Hoje o pensamento não é mais o mesmo', 'E no pensamento está', 'Que domine o pensamento']"
57,36,57_ouvir_voz_ouvi_ouço,"['ouvir', 'voz', 'ouvi', 'ouço', 'ouvindo', 'ouvido', 'alto', 'isso', 'reconheço', 'gostam']","['Se quer me ouvir, vou te dizer', 'Eu quero te ouvir', 'Quero ouvir a sua voz']"
58,36,58_nunca_jamais_voltar_passar,"['nunca', 'jamais', 'voltar', 'passar', 'juro', 'volto', 'mais', 'recaída', 'subir', 'serão']","['Cê nunca vai ver', 'Ele nunca vai ser eu', 'Que nunca vai ser nunca']"
59,36,59_água_mar_beira_maquiagem,"['água', 'mar', 'beira', 'maquiagem', 'praia', 'prova', 'tirou', 'ao', 'pedir', 'levar']","['Quem me deixou no mar', 'O mar e ela', 'Pezin na água']"
60,35,60_gente_nós_moral_volta,"['gente', 'nós', 'moral', 'volta', 'aprontou', 'iam', 'prever', 'encontrar', 'nosso', 'junto']","['Cê sabe que a gente não tem moral', 'Cê sabe que a gente não tem moral', 'Não, hoje a gente não volta(Hoje não)(E aí, gente?']"
61,35,61_olhar_olha_morando_olhe,"['olhar', 'olha', 'morando', 'olhe', 'aqui', 'alvo', 'feia', 'leu', 'olhando', 'mundão']","['E aqui no meu olhar, aqui no meu olhar', 'E aqui no meu olhar, e aqui no meu olhar morando', 'Olha bem no meu olhar']"
62,35,62_baixo_arrastar_botei_guardanapo,"['baixo', 'arrastar', 'botei', 'guardanapo', 'edredom', 'coloquei', 'onda', 'parava', 'recebi', 'farol']","['Mas eu tô por baixo', 'Botei a saudade no brete, fiz tudo do jeito que faz peão duro', 'É me arrastar pra baixo do meu edredom']"
63,35,63_foto_fotos_all_nossas,"['foto', 'fotos', 'all', 'nossas', 'have', 'black', 'fã', 'in', 'everything', 'olhei']","['Já que arquivou nossas fotos', 'Tô nessa foto que você tá vendo', 'Minhas fotos que você curtiu']"
64,35,64_seguir_continuar_será_decidir,"['seguir', 'continuar', 'será', 'decidir', 'simplesmente', 'algumas', 'indo', 'também', 'll', 'uôô']","['Vou ter que seguir em frente', 'Mas vou seguir', 'Já que você decidiu seguir, também vou decidir algumas coisas por aqui']"
65,34,65_sozinho_solteiro_sós_estamos,"['sozinho', 'solteiro', 'sós', 'estamos', 'fiquei', 'sozinha', 'cansei', 'aproveitando', 'solteira', 'estão']","['Eu sozinho aqui', 'Eu sozinho e você só', 'O sozinho acompanhado']"
66,34,66_mão_mãos_dedo_braços,"['mão', 'mãos', 'dedo', 'braços', 'sentiu', 'minhas', 'adorar', 'deixei', 'suas', 'suando']","['A minha mão suou', 'A minha mão gela', 'Na minha mão']"
67,33,67_mãe_pai_pais_perguntar,"['mãe', 'pai', 'pais', 'perguntar', 'mamãe', 'obreiro', 'falcão', 'levei', 'conhecer', 'acreditaria']","['Falcão)(Se sua mãe perguntar, cê fala que tá com o', 'Se sua mãe perguntar, cê fala que tá com o', ""Mas os fela' da mãe tem talento""]"
68,32,68_descendo_gado_cowboy_fazenda,"['descendo', 'gado', 'cowboy', 'fazenda', 'cowgirl', 'gemeu', 'cavaco', 'ovelhas', 'vuou', 'madeira']","['Toco meu berrante apartando o gado', 'Pelo campo, o gado urra como quem por ele chama', 'Os cowboy vai litorando e vai torar você(Vai descendo, vai descendo, vai descendo)(Vai descendo, vai descendo, vai descendo)(Vai descendo, vai descendo, vai descendo)(É']"
69,32,69_quê_razão_motivo_estás,"['quê', 'razão', 'motivo', 'estás', 'explicar', 'procuro', 'brigou', 'vários', 'culpada', 'rolo']","['Pra quê?', 'Sabe por quê?', 'Sabe por quê?']"
70,31,70_tomara_dê_saia_foda,"['tomara', 'dê', 'saia', 'foda', 'bagaça', 'atrasado', 'mau', 'calado', 'engole', 'lixo']","['Tomara que seja infarto', 'Tomara que saia e dê tudo errado', 'Tomara que saia, dê tudo errado']"
71,30,71_casar_filhos_interior_respeitar,"['casar', 'filhos', 'interior', 'respeitar', 'juramos', 'suporte', 'recebi', 'casais', 'ame', 'este']","['Com outra vai casar', 'Vontade de casar, ter filhos pra gente cuidar', 'Casar, ter filhos']"
72,30,72_língua_sumo_doido_aô,"['língua', 'sumo', 'doido', 'aô', 'xamã', 'caralho', 'folgado', 'embaixador', 'viciei', 'mendes']","['Embaixador agora tá em todas as língua, rapaz', 'Ai, essa língua passando em mim', 'Em qual língua?']"
73,30,73_comer_gostoso_jantar_comida,"['comer', 'gostoso', 'jantar', 'comida', 'sobremesa', 'cu', 'cortar', 'alimento', 'ofereceu', 'come']","['É que filme assistir, o que a gente vai comer', 'E eu doido para comer', 'Vai procurar alguma coisa leve pra comer']"
74,29,74_porta_portão_abre_abrir,"['porta', 'portão', 'abre', 'abrir', 'barulho', 'janela', 'bate', 'bateu', 'baixar', 'fechei']","['Tô aqui no portão', 'Eu tranquei a porta', 'A porta encostada, a']"
75,29,75_durmo_continua_sonhar_voar,"['durmo', 'continua', 'sonhar', 'voar', 'vivo', 'vivi', 'ruim', 'falta', 'viver', 'confesso']","['Sem você, a vida não continua', 'Eu, sem você, já não durmo, nem sei voar', 'Eu, sem você, já não durmo, nem sei voar(Sonhar) sonhar, viver, ê']"
76,29,76_celular_telefone_parede_tela,"['celular', 'telefone', 'parede', 'tela', 'esquentar', 'mudei', 'vontade', 'fria', 'memória', 'pegou']","['Na memória do meu celular', 'Olhando o celular', 'Ai que vontade de tacar meu celular na parede']"
77,29,77_entender_entendo_sentido_sei,"['entender', 'entendo', 'sentido', 'sei', 'consigo', 'irmão', 'consiga', 'desculpe', 'pude', 'entendendo']","['Você precisa entender, é que eu não sei dizer', 'Eu não consigo entender você', 'Até agora não consigo entender']"
78,29,78_perder_perdi_perdido_perdeu,"['perder', 'perdi', 'perdido', 'perdeu', 'aula', 'azar', 'perdendo', 'seria', 'doido', 'tive']","['É alguém que sabe que eu te perdi', 'Mas eu me perdi', 'Te perder']"
79,29,79_assim_suficiente_resposta_mesmo,"['assim', 'suficiente', 'resposta', 'mesmo', 'inventar', 'suíte', 'simples', 'soprar', 'isso', 'quase']","['E mesmo assim', 'Mas mesmo assim', 'Mas mesmo assim']"
80,28,80_esquecer_ie_esquece_esqueço,"['esquecer', 'ie', 'esquece', 'esqueço', 'esqueci', 'consegue', 'lembra', 'admite', 'consegui', 'acabe']","['Você não vai me esquecer', 'Não vai me esquecer não', 'Eu não vou te esquecer']"
81,28,81_bar_barzinho_restaurante_mesa,"['bar', 'barzinho', 'restaurante', 'mesa', 'pelos', 'num', 'ligo', 'lotado', 'marcando', 'pirar']","['De novo, eu fechando esse bar', 'Num bar de currutela', 'Agora eu tô no bar do']"
82,28,82_longe_distância_distante_tão,"['longe', 'distância', 'distante', 'tão', 'ausente', 'portas', 'limite', 'sinais', '20', 'minutos']","['E ficaram de longe:', 'Ficar longe de você', 'E ficarão de longe']"
83,28,83_sempre_ganha_desabafar_5g,"['sempre', 'ganha', 'desabafar', '5g', 'estarei', 'foge', 'manha', 'online', 'preguiça', 'fã']","['Eu sempre pedirei a', 'É sempre corrido', 'Que sempre vinha assinado no cartão']"
84,28,84_queira_uoh_preciso_também,"['queira', 'uoh', 'preciso', 'também', 'companhia', 'sei', 'namorar', 'tu', 'comigo', 'mim']","['O que eu mais quero é que você me queira uoh oh', 'O que eu mais quero é que você me queira uoh', 'O que eu mais quero é que você me queira, me queira uoh']"
85,28,85_estrelas_lua_brilho_passa,"['estrelas', 'lua', 'brilho', 'passa', 'pedido', 'rosto', 'mar', 'ilha', 'refletindo', 'voo']","['O brilho desceu das estrelas e no meu olhar ficou até o fim', 'Nem o brilho das estrelas', 'Carregado de estrelas']"
86,28,86_perfume_doce_cheiroso_identifica,"['perfume', 'doce', 'cheiroso', 'identifica', 'preferir', 'tira', 'atrapalhar', 'enganou', 'manter', 'tanque']","['BTira meu perfume das perfumarias', 'Exagerei no perfume pra te impressionar', 'Perfume de sedução']"
87,27,87_falo_bebê_comigo_faço,"['falo', 'bebê', 'comigo', 'faço', 'conversar', 'contigo', 'gostosinho', 'personalidades', 'dó', 'chamava']","['Eu quem falo contigo (eu falo contigo)Volta a ser', 'Falo de mim', 'Eu quem falo por você']"
88,27,88_carro_som_toca_entrando,"['carro', 'som', 'toca', 'entrando', 'vidro', 'preto', 'andando', 'decidi', 'volante', 'xand']","['Onde você deixou seu carro', 'Quem já conquistou um carro', 'Deixa o carro na garagem']"
89,27,89_céu_why_terra_azul,"['céu', 'why', 'terra', 'azul', 'braços', 'the', 'seus', 'horizonte', 'dividindo', 'brilhando']","['Se o céu tá nublado', 'O céu é que nos diz', 'E o bucho do céu furasse']"
90,27,90_áudio_voz_mudo_som,"['áudio', 'voz', 'mudo', 'som', 'acelera', 'enviado', 'disfarçada', 'fraqueza', 'sucesso', 'manda']","['Com oi e um i e um áudio mudo', 'I e um áudio mudo', 'Eu tô gravando esse áudio']"
91,27,91_casal_combinado_juntos_lembrando,"['casal', 'combinado', 'juntos', 'lembrando', 'namorou', 'gente', 'há', 'junto', 'encontro', 'anos']","['Me amava sendo que mentia que a gente era um casal bonito', 'Lembrando que a gente namorou há três anos atrás', 'Lembrando quando a gente namorou há três anos atrás']"
92,26,92_entrar_embora_entra_joga,"['entrar', 'embora', 'entra', 'joga', 'lar', 'casa', 'favor', 'deu', 'fora', 'sai']","['Se não servir, cê joga fora, vai embora e diz que não deu', 'E cê não deixa entrar', 'Cê não deixa entrar']"
93,26,93_cheiro_sentindo_suor_sinto,"['cheiro', 'sentindo', 'suor', 'sinto', 'sentir', 'gostoso', 'cheirosa', 'misturado', 'nuca', 'gota']","['De cheiro em cheiro, de beijo em beijo', 'Ficou o meu cheiro', 'Foi com um cheiro']"
94,26,94_cabelo_corte_pintar_molhado,"['cabelo', 'corte', 'pintar', 'molhado', 'cortar', 'coloriu', 'pereira', 'body', 'secando', 'mina']","['Gosta de cabelo cacheado', 'Com esse cabelo na minha mão', 'O cabelo']"
